xmag ymag zmag xacc yacc zacc
-1328 -1939 -4253 1555 4925 1043
-1328 -1939 -4253 1582 4948 1312
-1699 -1746 -4597 1603 4949 1438
-1699 -1746 -4597 1407 4801 1463
-1699 -1746 -4597 1201 4587 1480
-1699 -1746 -4597 993 4629 1709
-1699 -1746 -4597 1107 4329 1612
-1699 -1746 -4597 1196 4130 1688
-1699 -1746 -4597 1222 4012 1848
-1847 -1473 -4946 1158 3889 1955
-1847 -1473 -4946 1123 3851 2055
-1847 -1473 -4946 1190 3732 2051
-1847 -1473 -4946 1244 3558 2194
-1847 -1473 -4946 1344 3386 2015
-1847 -1473 -4946 1511 3329 1816
-2026 -1123 -5312 1525 4113 3196
-2026 -1123 -5312 1824 3408 1506
-2026 -1123 -5312 1897 2794 2650
-2026 -1123 -5312 1988 3174 2668
-2026 -1123 -5312 1510 3618 1628
-2026 -1123 -5312 1641 3637 2497
-2026 -1123 -5312 1468 3880 2196
-1977 -778 -5641 1249 3826 2741
-1977 -778 -5641 1113 3841 2565
-1977 -778 -5641 1310 3706 2465
-1977 -778 -5641 1361 3671 2368
-1977 -778 -5641 1294 3652 2067
-1977 -778 -5641 1374 3677 2585
-1977 -778 -5641 1364 3682 2104
-1844 -426 -5919 1282 3654 2250
-1844 -426 -5919 1253 3629 2451
-1844 -426 -5919 1251 3613 2403
-1844 -426 -5919 1169 3426 2632
-1844 -426 -5919 1399 3623 2504
-1844 -426 -5919 1382 3552 2684
-1844 -426 -5919 1427 3547 2661
-1600 -145 -6116 1344 3466 2475
-1600 -145 -6116 1253 3427 2472
-1600 -145 -6116 1179 3497 2257
-1600 -145 -6116 1124 3539 2324
-1600 -145 -6116 1126 3658 2372
-1600 -145 -6116 1072 3780 2682
-1600 -145 -6116 923 3781 2659
-1327 100 -6281 721 3615 2482
-1327 100 -6281 592 3820 2667
-1327 100 -6281 618 3667 2631
-1327 100 -6281 511 3675 2738
-1327 100 -6281 367 3637 2635
-1327 100 -6281 369 3594 2946
-873 328 -6378 252 3412 3446
-873 328 -6378 265 3715 2741
-873 328 -6378 189 3619 2792
-873 328 -6378 40 3610 2838
-873 328 -6378 -35 3443 2912
-873 328 -6378 -65 3279 2619
-873 328 -6378 -15 3128 2718
-481 467 -6319 175 2947 2719
-481 467 -6319 337 2691 2704
-481 467 -6319 417 2572 2718
-481 467 -6319 455 2445 2653
-481 467 -6319 538 2304 2719
-481 467 -6319 579 2369 2646
-481 467 -6319 578 2394 2642
-140 450 -6296 680 2549 2807
-140 450 -6296 713 2645 2794
-140 450 -6296 667 2825 2956
-140 450 -6296 593 2823 2938
-140 450 -6296 429 2883 2788
-140 450 -6296 302 2922 3005
-140 450 -6296 204 2926 2983
196 300 -6153 250 2790 2857
196 300 -6153 231 2801 3054
196 300 -6153 303 2623 3014
196 300 -6153 494 2600 2912
196 300 -6153 594 2526 3113
196 300 -6153 802 2507 2997
