xmag ymag zmag
-864 -207 -174
-864 -207 -174
-864 -207 -174
-864 -207 -174
-864 -207 -174
-845 -188 -168
-845 -188 -168
-845 -188 -168
-845 -188 -168
-845 -188 -168
-845 -188 -168
-845 -188 -168
-845 -188 -168
-824 -176 -150
-824 -176 -150
-824 -176 -150
-824 -176 -150
-824 -176 -150
-824 -176 -150
-824 -176 -150
-824 -176 -150
-786 -204 -130
-786 -204 -130
-786 -204 -130
-786 -204 -130
-786 -204 -130
-786 -204 -130
-786 -204 -130
-786 -204 -130
-830 -183 -151
-830 -183 -151
-830 -183 -151
-830 -183 -151
-830 -183 -151
-830 -183 -151
-830 -183 -151
-830 -183 -151
-827 -180 -114
-827 -180 -114
-827 -180 -114
-827 -180 -114
-827 -180 -114
-827 -180 -114
-827 -180 -114
-827 -180 -114
-817 -196 -118
-817 -196 -118
-817 -196 -118
-817 -196 -118
-817 -196 -118
-817 -196 -118
-817 -196 -118
-817 -196 -118
-841 -214 -125
-841 -214 -125
-841 -214 -125
-841 -214 -125
-841 -214 -125
-841 -214 -125
-841 -214 -125
-841 -214 -125
-852 -165 -98
-852 -165 -98
-852 -165 -98
-852 -165 -98
-852 -165 -98
-852 -165 -98
-852 -165 -98
-852 -165 -98
-796 -209 -159
-796 -209 -159
-796 -209 -159
-796 -209 -159
-796 -209 -159
-796 -209 -159
-796 -209 -159
-796 -209 -159
-886 -192 -171
-886 -192 -171
-886 -192 -171
-886 -192 -171
-886 -192 -171
-886 -192 -171
-886 -192 -171
-886 -192 -171
-838 -199 -112
-838 -199 -112
